id,name
05M499,Frederick Douglass Academy
05M670,Thurgood Marshall Academy for Learning and Social Change
06M293,City College Academy of the Arts
06M346,Community Health Academy of the Heights
06M348,Washington Heights Expeditionary Learning School
06M423,High School for Excellence and Innovation
06M462,The College Academy
06M463,High School for Media and Communications
06M467,High School for Law and Public Service
06M468,High School for Health Careers and Sciences
06M540,A. Philip Randolph Campus High School
06M552,Gregorio Luperon High School for Science and Mathematics
07X221,South Bronx Preparatory: A College Board School
07X223,The Laboratory School of Finance and Technology
07X334,International Community High School
07X427,Community School for Social Justice
07X473,Mott Haven Village Preparatory High School
07X495,University Heights Secondary School
07X500,Hostos-Lincoln Academy of Science
07X520,Foreign Language Academy of Global Studies
07X522,Bronx Design and Construction Academy
07X527,Bronx Leadership Academy II High School
07X547,New Explorers High School
07X548,Urban Assembly School for Careers in Sports
07X551,The Urban Assembly Bronx Academy of Letters
07X600,Alfred E. Smith Career and Technical Education High School
07X670,Health Opportunities High School
08X269,The Urban Assembly Bronx Studio School for Writers and Artists
08X282,Women's Academy of Excellence
08X293,Renaissance High School for Musical Theater & Technology
08X305,Pablo Neruda Academy
08X312,Millennium Art Academy
08X332,Holcombe L. Rucker School of Community Research
08X367,"Archimedes Academy for Math, Science and Technology Applications"
08X376,Antonia Pantoja Preparatory Academy: A College Board School
08X405,Herbert H. Lehman High School
08X432,Bronx Bridges High School
08X452,Bronx Guild
08X519,The Felisa Rincon de Gautier Institute for Law and Public Policy
08X530,Banana Kelly High School
08X558,Westchester Square Academy
08X559,School for Tourism and Hospitality
08X561,The Bronx Compass High School
09X227,Bronx Collegiate Academy
09X231,Eagle Academy for Young Men
09X241,The Urban Assembly School for Applied Math and Science
09X250,Eximius College Preparatory Academy: A College Board School
09X252,Mott Hall Bronx High School
09X260,Bronx Center for Science and Mathematics
09X263,Validus Preparatory Academy: An Expeditionary Learning School
09X276,Leadership Institute
09X297,Morris Academy for Collaborative Studies
09X324,Bronx Early College Academy for Teaching & Learning
09X327,Comprehensive Model School Project (CMSP)
09X329,DreamYard Preparatory School
09X365,Academy for Language and Technology
09X403,Bronx International High School
09X404,School for Excellence
09X412,Bronx High School of Business
09X413,Bronx High School for Medical Science
09X505,"Bronx School for Law, Government and Justice"
09X517,Frederick Douglass Academy III Secondary School
09X525,Bronx Leadership Academy High School
09X543,High School for Violin and Dance
09X564,Claremont International High School
10X141,Riverdale/Kingsbridge Academy (MS/HS 141)
10X213,Bronx Engineering and Technology Academy
10X225,Theatre Arts Production Company School
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions"
10X243,West Bronx Academy for the Future
10X268,Kingsbridge International High School
10X284,Bronx School of Law and Finance
10X342,International School for Liberal Arts
10X368,IN-Tech Academy (MS/HS 368)
10X374,Knowledge and Power Preparatory Academy International High School
10X433,High School for Teaching and the Professions
10X434,Belmont Preparatory High School
10X437,Fordham High School for the Arts
10X438,Fordham Leadership Academy for Business and Technology
10X439,Bronx High School for Law and Community Service
10X440,DeWitt Clinton High School
10X442,The Celia Cruz Bronx High School of Music
10X477,Marble Hill High School for International Studies
10X524,Crotona International High School
10X546,Bronx Theatre High School
10X549,Discovery High School
10X565,High School for Energy and Technology
11X249,Bronx Health Sciences High School
11X253,Bronx High School for Writing and Communication Arts
11X265,Bronx Lab School
11X270,Academy for Scholarship and Entrepreneurship: A College Board School
11X275,High School of Computers and Technology
11X288,Collegiate Institute for Math and Science
11X290,Bronx Academy of Health Careers
11X299,Astor Collegiate Academy
11X418,Bronx High School for the Visual Arts
11X455,Harry S Truman High School
11X508,Bronxdale High School
11X509,High School of Language and Innovation
11X513,New World High School
11X514,The Bronxwood Preparatory Academy
11X542,Pelham Preparatory Academy
11X544,High School for Contemporary Arts
11X545,Bronx Aerospace High School
12X242,Mott Hall V
12X248,The Metropolitan High School
12X251,Explorations Academy
12X267,Bronx Latin
12X271,East Bronx Academy for the Future
12X278,Peace and Diversity Academy
12X372,Urban Assembly School for Wildlife Conservation
12X388,Pan American International High School at Monroe
12X478,The Cinema School
12X479,Bronx Career and College Preparatory High School
12X511,Bronx Envision Academy
12X521,The Metropolitan Soundview High School
12X682,Fannie Lou Hamer Freedom High School
12X684,Wings Academy
12X692,Monroe Academy for Visual Arts & Design
13K265,Dr. Susan S. McKinney Secondary School of the Arts
13K350,The Urban Assembly School of Music and Art
13K412,"Brooklyn Community High School of Communication, Arts and Media"
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts"
13K439,Brooklyn International High School
13K483,The Urban Assembly School for Law and Justice
13K499,ACORN Community High School
13K527,Urban Assembly Institute of Math and Science for Young Women
13K595,Bedford Academy High School
13K605,George Westinghouse Career and Technical Education High School
13K670,Benjamin Banneker Academy
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology"
14K071,Juan Morel Campos Secondary School
14K322,Foundations Academy
14K454,Green School: An Academy for Environmental Careers
14K474,PROGRESS High School for Professional Careers
14K477,School for Legal Studies
14K478,"The High School for Enterprise, Business and Technology"
14K488,Brooklyn Preparatory High School
14K558,Williamsburg High School for Architecture and Design
14K561,Williamsburg Preparatory School
14K586,Lyons Community School
14K610,Automotive High School
14K614,Young Women's Leadership School of Brooklyn
14K632,Frances Perkins Academy
14K685,El Puente Academy for Peace and Justice
15K423,Brooklyn Frontiers High School
15K429,Brooklyn School for Global Studies
15K448,Brooklyn Secondary School for Collaborative Studies
15K462,Secondary School for Law
15K463,Secondary School for Journalism
15K464,Park Slope Collegiate
15K497,School for International Studies
15K519,Cobble Hill School of American Studies
15K592,Khalil Gibran International Academy
15K656,Brooklyn High School of the Arts
15K667,Sunset Park High School
15K684,Millennium Brooklyn
16K393,Frederick Douglass Academy IV Secondary School
16K455,Boys and Girls High School
16K498,Brooklyn High School for Law and Technology
16K594,Gotham Professional Arts Academy
16K688,Brooklyn Academy of Global Finance
17K122,Pathways in Technology Early College High School (P-TECH)
17K382,Academy for College Preparation and Career Exploration: A College Board School
17K408,Academy of Hospitality and Tourism
17K524,International High School at Prospect Heights
17K528,The High School for Global Citizenship
17K531,The School for Human Rights
17K533,School for Democracy and Leadership
17K537,High School for Youth and Community Development at Erasmus
17K539,High School for Service & Learning at Erasmus
17K543,"Science, Technology and Research Early College High School at Erasmus"
17K546,High School for Public Service: Heroes of Tomorrow
17K547,Brooklyn Academy of Science and the Environment
17K548,Brooklyn School for Music & Theatre
17K590,Medgar Evers College Preparatory School
17K600,Clara Barton High School
17K745,Brooklyn Institute for Liberal Arts
17K751,Academy for Health Careers
18K563,It Takes a Village Academy
18K566,Brooklyn Generation School
18K567,Brooklyn Theatre Arts High School
18K569,Kurt Hahn Expeditionary Learning School
18K576,Victory Collegiate High School
18K589,Arts & Media Preparatory Academy
18K617,High School for Innovation in Advertising and Media
18K629,Cultural Academy for the Arts and Sciences
18K633,High School for Medical Professions
18K637,Academy for Conservation and the Environment
18K642,Urban Action Academy
19K404,Academy for Young Writers
19K409,East New York Family Academy
19K502,FDNY High School for Fire and Life Safety
19K504,High School for Civil Rights
19K507,Performing Arts and Technology High School
19K510,World Academy for Total Community Health High School
19K583,Multicultural High School
19K615,Transit Tech Career and Technical Education High School
19K618,Academy of Innovative Technology
19K639,Brooklyn Lab School
19K659,Cypress Hills Collegiate Preparatory School
19K660,W.H. Maxwell Career and Technical Education High School
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers"
20K445,New Utrecht High School
20K485,High School of Telecommunication Arts and Technology
20K490,Fort Hamilton High School
20K505,Franklin Delano Roosevelt High School
20K609,Urban Assembly School for Criminal Justice
21K337,International High School at Lafayette
21K344,Rachel Carson High School for Coastal Studies
21K348,High School of Sports Management
21K410,Abraham Lincoln High School
21K468,Kingsborough Early College School
21K525,Edward R. Murrow High School
21K540,John Dewey High School
21K559,Life Academy High School for Film and Music
21K572,Expeditionary Learning School for Community Leaders
21K620,William E. Grady Career and Technical Education High School
21K690,Brooklyn Studio Secondary School
22K405,Midwood High School
22K425,James Madison High School
22K535,Leon M. Goldstein High School for the Sciences
22K555,Brooklyn College Academy
23K493,Brooklyn Collegiate: A College Board School
23K514,Frederick Douglass Academy VII High School
23K644,Eagle Academy for Young Men II
23K697,Teachers Preparatory High School
24Q264,Academy of Finance and Enterprise
24Q267,High School of Applied Communication
24Q293,Civic Leadership Academy
24Q296,Pan American International High School
24Q299,Bard High School Early College Queens
24Q455,Newtown High School
24Q485,Grover Cleveland High School
24Q520,Middle College High School at LaGuardia Community College
24Q530,International High School at LaGuardia Community College
24Q550,High School for Arts and Business
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology"
24Q585,Maspeth High School
24Q600,Queens Vocational and Technical High School
24Q610,Aviation Career & Technical Education High School
25Q252,The Queens School of Inquiry
25Q263,Flushing International High School
25Q281,East-West School of International Studies
25Q285,World Journalism Preparatory: A College Board School
25Q425,John Bowne High School
25Q460,Flushing High School
25Q525,Townsend Harris High School
25Q670,Robert F. Kennedy Community High School
26Q415,Benjamin N. Cardozo High School
26Q430,Francis Lewis High School
26Q435,Martin Van Buren High School
26Q495,Bayside High School
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences"
27Q260,Frederick Douglass Academy VI High School
27Q262,Channel View School for Research
27Q302,"Queens High School for Information, Research and Technology"
27Q308,Robert H. Goddard High School of Communication Arts and Technology
27Q309,Academy of Medical Technology: A College Board School
27Q323,Scholars' Academy
27Q324,Rockaway Park High School for Environmental Sustainability
27Q351,Rockaway Collegiate High School
27Q400,August Martin High School
27Q475,Richmond Hill High School
27Q480,John Adams High School
27Q650,"High School for Construction Trades, Engineering and Architecture"
28Q167,Metropolitan Expeditionary Learning School
28Q284,York Early College Academy
28Q310,Queens Collegiate: A College Board School
28Q325,Hillside Arts & Letters Academy
28Q328,High School for Community Leadership
28Q350,Jamaica Gateway to the Sciences
28Q440,Forest Hills High School
28Q505,Hillcrest High School
28Q620,Thomas A. Edison Career and Technical Education High School
28Q680,Queens Gateway to Health Sciences Secondary School
28Q686,Queens Metropolitan High School
28Q690,High School for Law Enforcement and Public Safety
28Q896,"The Young Women's Leadership School, Queens"
29Q248,Queens Preparatory Academy
29Q259,Pathways College Preparatory School: A College Board School
29Q265,Excelsior Preparatory High School
29Q272,George Washington Carver High School for the Sciences
29Q283,Preparatory Academy for Writers: A College Board School
29Q326,Cambria Heights Academy
29Q327,Eagle Academy for Young Men III
29Q492,"Mathematics, Science Research and Technology Magnet High School"
29Q498,Humanities & Arts Magnet High School
30Q286,"The Young Women's Leadership School, Astoria"
30Q301,Academy for Careers in Television and Film
30Q445,William Cullen Bryant High School
30Q450,Long Island City High School
30Q501,Frank Sinatra School of the Arts High School
30Q502,Information Technology High School
30Q555,Newcomers High School
30Q575,Academy of American Studies
30Q580,Baccalaureate School for Global Education
31R047,CSI High School for International Studies
31R064,Gaynor McCown Expeditionary Learning School
31R080,The Michael J. Petrides School
31R440,New Dorp High School
31R445,Port Richmond High School
31R450,Curtis High School
31R455,Tottenville High School
31R460,Susan E. Wagner High School
31R600,Ralph R. McKee Career and Technical Education High School
32K168,Brooklyn School for Math and Research
32K403,Academy for Environmental Leadership
32K545,EBC High School for Public Service - Bushwick
32K549,Bushwick School for Social Justice
32K552,Academy of Urban Planning
32K554,All City Leadership Secondary School
32K556,Bushwick Leaders High School for Academic Excellence
02M139,Stephen T. Mather Building Arts & Craftsmanship High School
02M135,The Urban Assembly School for Emergency Management
05M157,The Urban Assembly School for Global Commerce
10X264,Bronx Academy for Software Engineering (BASE)
10X351,Bronx Collaborative High School
08X349,Bronx River High School
07X259,"Health, Education, and Research Occupations (H.E.R.O.) High School"
08X320,Pelham Lab High School
08X348,Schuylerville Preparatory High School
10X353,World View High School
22K611,Origins High School
30Q258,Energy Tech High School
29Q243,Institute for Health Professions at Cambria Heights
24Q236,International High School for Health Sciences
25Q241,Queens High School for Language Studies
25Q240,Veritas Academy
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
31R605,Staten Island Technical High School
02M475,Stuyvesant High School
05M692,"High School for Mathematics, Science and Engineering at City College"
10X696,High School of American Studies at Lehman College
13K430,Brooklyn Technical High School
10X445,Bronx High School of Science
14K449,The Brooklyn Latin School
28Q687,Queens High School for the Sciences at York College
